ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
29060000,0.5139,17570,0.9403,NA,NA,61340,0.4113,26.52,7.663,180,0.3691,5.506,1.069
229.3,8.492,24340,4.206,NA,NA,4584,0.6293,5871000,9.533,73.05,0.4925,6.535,1.076
13370,1.806,955200000,0.2557,NA,NA,5125,0.6084,80290,5.676,16.3,0.8641,5.478,1.05
53.24,5.07,3210000,0.3392,NA,NA,31.44,2.817,1424000,0.3515,10.57,1.068,6.382,1.107
42560,0.5106,544300,3.164,NA,NA,21.06,3.471,1424000,0.3515,16.54,0.8391,5.682,1.136
42560,0.5106,1.016e+09,9.524,NA,NA,20.02,3.824,1.727e+09,0.1816,14.38,0.9189,6.394,0.9496
42560,0.5106,272600,8.937,NA,NA,25.34,3.797,317400000,0.1754,14.25,0.9956,5.88,1.104
42560,0.5106,6062000,9.531,NA,NA,395200000,3.083,317400000,0.1754,49.22,0.479,5.811,0.9968
178000,0.4881,1.03e+08,7.409,NA,NA,9218,6.551,317400000,0.1754,49.61,0.5495,5.664,1.01
615.7,8.094,1445000,8.782,NA,NA,12.28,5.821,317400000,0.1754,37.22,0.5294,7.218,1.018
12.5,5.862,29.48,8.828,NA,NA,12.28,5.821,1.486e+09,0.1543,20.1,0.7693,6.531,1.107
305600000,8.902,11.63,8.476,NA,NA,12.28,5.821,1.486e+09,0.1543,57.94,0.4795,6.239,1.163
474300,5.01,10580000,7.062,NA,NA,11.87,4.767,1.486e+09,0.1543,20.62,0.6283,6.382,0.9998
446300,4.732,354500,0.4508,NA,NA,11.38,5.161,1.486e+09,0.1543,16.71,0.7448,5.793,1.01
3.011e+09,7.377,418600000,2.77,NA,NA,11.2,5.414,1.486e+09,0.1543,52.41,0.5086,5.797,1.152
53.51,1.859,179300000,3.828,NA,NA,12.5,4.963,1.486e+09,0.1543,24.67,0.6588,5.734,1.043
561100,4.706,1.196e+09,9.606,NA,NA,12.5,4.963,1.486e+09,0.1543,42.22,0.5509,5.971,1.171
11.72,7.187,116.2,7.095,NA,NA,15.5,4.839,1.486e+09,0.1543,21.02,0.8121,6.25,1.011
103200000,9.786,164300000,7.087,NA,NA,15.5,4.839,1.486e+09,0.1543,146.7,0.4323,6.545,1.056
373.5,2.038,543600,4.249,NA,NA,47.19,2.24,125700000,0.1982,3118,0.1958,6.197,1.095
25610000,1.341,538,3.978,NA,NA,27.93,2.221,366300000,0.1866,22240,0.1791,6.534,1.232
4198000,0.8465,220.5,9.677,NA,NA,20120000,0.3432,366300000,0.1866,26910,0.1597,5.82,1.021
27460000,1.584,3.689e+09,9.288,NA,NA,20120000,0.3432,15060,3.473,17820,0.1883,5.876,1.13
451800000,8.53,14820000,7.824,NA,NA,20120000,0.3432,13550,4.958,42750,0.1734,6.364,0.9478
451800000,8.53,65980000,9.492,NA,NA,38040000,0.2311,1562,8.29,7434,0.2109,6.65,1.055
585500,8.801,13130,3.598,NA,NA,8750000,0.3298,4585,2.088,7010,0.2072,5.997,1.143
153.6,5.325,1061,6.994,NA,NA,310.7,0.9288,3464,0.4371,15150,0.2105,5.648,1.078
484500000,6.554,136500,5.164,NA,NA,11220,0.5167,2902,0.5283,6415,0.1973,6.483,0.9852
390.1,6.147,6462,4.273,NA,NA,11220,0.5167,2902,0.5283,6426,0.1741,6.931,0.987
298900,0.4883,100,2.473,NA,NA,4422,0.5601,961.7,0.478,2517,0.2249,6.398,0.9916
1560000,0.407,16.48,5.697,NA,NA,364.3,0.9443,3.138e+09,5.788,413.4,0.3148,6.07,1.084
1560000,0.407,19.08,2.466,NA,NA,26.23,2.548,724000,5.589,29.51,0.5989,5.883,0.9703
1560000,0.407,243800000,3.657,NA,NA,28.84,2.248,46570,4.524,34.39,0.6153,5.84,1.145
2239000,0.3772,637.5,3.793,NA,NA,28.84,2.248,1.251e+09,9.859,21.3,0.7056,6.572,1.245
7348000,0.3734,3537000,8.734,NA,NA,129.8,1.097,2035,9.182,90.84,0.4189,5.841,1.057
449700000,0.3441,632000,3.664,NA,NA,129.8,1.097,117600,6.953,26.31,0.5965,6.54,0.8949
1890,0.7036,682700,6.472,NA,NA,588.2,0.8029,15750000,4.533,16.51,0.9075,6.026,1.058
58.36,1.865,3353,3.402,NA,NA,958.3,0.7816,3720,8.479,25.17,0.7197,5.446,1.109
51.42,2.962,771800,3.672,NA,NA,213400,0.3579,76.63,7.333,44.16,0.5005,6.68,1.066
3725000,0.4505,1613,4.693,NA,NA,4405,0.5491,2710,2.465,29.78,0.5212,6.611,1.065
