ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7708,0.9285,9547,0.7576,NA,NA,4667,2.165,5200,0.931,187900000,0.2804,927.4,0.8659
5812,1.033,9778,0.6401,NA,NA,4112,2.164,4893,0.9325,216900000,0.2513,964.5,0.704
8951,0.7666,8986,0.7125,NA,NA,4261,2.148,5069,0.8207,52690000,0.3198,1027,0.7267
7732,0.9868,7336,0.7337,NA,NA,4873,2.17,4038,0.895,17160000,0.3555,928.3,0.7021
7721,1.113,11170,0.6478,NA,NA,5313,2.036,4398,0.9957,34450000,0.3362,987,0.9078
8945,0.7836,9035,0.7105,NA,NA,4563,2.524,4362,0.9469,3326000,0.4188,1021,0.9067
8067,0.886,8177,0.8049,NA,NA,4365,2.107,4232,0.8025,387200,0.7211,1047,0.8084
9149,0.9729,9753,0.8039,NA,NA,5139,2.049,4649,0.9386,284100,0.8397,853.1,0.7701
9909,0.5859,7063,0.9013,NA,NA,4799,1.587,4496,0.9275,2942000,0.4305,909.6,0.8662
6903,0.9236,8010,0.7059,NA,NA,5523,3.035,4523,0.9336,653800,1.945,1108,0.8095
7386,0.7787,8085,0.71,NA,NA,4750,1.879,3735,1.042,3508000,0.4885,1025,0.8004
7106,0.9958,9437,0.666,NA,NA,4324,2.183,4247,1.127,522500000,0.2685,1051,0.8443
8313,1.03,11280,0.5655,NA,NA,4332,2.093,4508,1.121,143800000,0.2991,966.4,0.8929
11760,0.9015,8013,0.6623,NA,NA,3293,2.218,4202,0.8901,521100000,0.2847,923.3,0.8618
7777,0.9657,10220,0.6497,NA,NA,4146,2.149,5038,0.8803,521100000,0.2847,1013,0.8335
8632,0.8601,10240,0.6635,NA,NA,4586,2.572,5207,0.8992,47160,1.652,1099,0.6882
7476,0.7759,12370,0.6487,NA,NA,5379,2.696,4082,0.8646,88650,1.434,884,0.9465
8500,0.8784,13740,0.6393,NA,NA,3929,1.813,4016,1.055,4049000,0.4264,865.5,0.9039
8788,0.8028,10390,0.8031,NA,NA,4055,2.491,4260,1.038,19600000,0.3647,881.9,0.8552
8705,0.6474,8952,0.6755,NA,NA,4892,1.646,4932,0.8063,101300000,0.3019,814.5,1.107
7229,1.07,9272,0.778,NA,NA,4394,1.648,4814,0.9726,219500000,0.2849,913.9,0.9154
11000,0.6768,9964,0.7109,NA,NA,4297,2.466,4895,0.7759,17050000,0.3951,1006,0.8606
7669,0.8745,7961,0.6129,NA,NA,4264,2.139,4298,1,10940000,0.4187,987.3,0.8674
